family,model_id,model_name,auroc,auprc,sens_spec85,f1,median_lead_h,mean_lead_h
ML,logistic_regression,Lojistik Reg.,0.7443871350894979,0.10870389722430841,0.5203110123770232,0.15448399330993381,33.5,54.54237288135593
ML,random_forest,Random Forest,0.8143003399112861,0.15139961020967002,0.6198032370675975,0.17861715749039692,31.0,52.08387096774194
ML,xgboost,XGBoost,0.8264209504727243,0.17969626136800557,0.6217073944779435,0.17806662727809844,30.0,51.37261146496815
ML,gradient_boosting,Gradyan Artirma,0.8222733320803884,0.1636135708640597,0.6237702316724849,0.17432759041220428,29.5,51.49363057324841
ML,gaussian_nb,Gaussian NB,0.7398833023497916,0.0724567424158818,0.4757219930180895,0.1373685536896607,23.0,48.30651340996169
DL,lstm,LSTM,0.8255798598494424,0.27561769480585274,0.6558752997601919,0.2642512077294686,28.0,49.0
DL,gru,GRU,0.8408828003676355,0.28994315757918265,0.6630695443645084,0.27094561489465946,29.0,50.0
DL,bigru_attn,BiGRU+Attention,0.8291725292033559,0.28313076099978146,0.6366906474820144,0.2650361866733217,27.0,48.5
Transformer,transformer,Temporal Transformer,0.8129942004802059,0.26263629203583844,0.6834532374100719,0.22686567164179106,26.0,47.0
