model,median_lead_h,mean_lead_h,n_caught,n_sepsis_total,threshold
logistic_regression,33.5,54.54237288135593,236,440,0.5755759446480017
random_forest,31.0,52.08387096774194,310,440,0.043333333333333335
xgboost,30.0,51.37261146496815,314,440,0.5312392115592957
gradient_boosting,29.5,51.49363057324841,314,440,0.0317891475552707
gaussian_nb,23.0,48.30651340996169,261,440,0.02364139503667171
